name;id;family;x;y;Rec.P;RecRef.I;RecRef.D;ContQInitial;ContQNonInitial;NumNoun;NounNum;DegWAdj;AdjDegW;GenN;NGen;AdjN;NAdj;PossAff.P;PossPre;PossSuff;ComInst;NPconj;NVconj;DefArt;IndefArt;PronomS;IndefPron;PronDem;DemDis;PronAdnDem;IntRef;GenPron;Gender;Gender.n;NegMorph;NPlural;OrdNum;DistNum;AdpN;DemN;NegV;OXV;RelN;Passive;Optative;Prohibitive;Imperative;AdpPM;PolarQ;PossClass;PossLocus;Reduplication;Future;Past;Aspect;Vper;SOV;Agr.Number;Agr.Gender;Agr.Case;Agr.State;Agr.none;Agr.Role;NPHeadlessness;ClausePosition;NumClass.n;Alignment
Old.Polish;OldPolish;IE;20,00;52,00;NA;NA;NA;Y;N;Y;N;Y;N;N;Y;Y;Y;Y;NA;NA;Differentiation;And different from with;Identity;No definite or indefinite article;No definite or indefinite article;Obligatory pronouns in subject position;Interrogativebased;Unrelated;No distance contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;Initial;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;Y;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Old.Portuguese;OldPortuguese;IE;-8,00;39,00;NA;NA;NA;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Subject affixes on verb;Special;Unrelated;Fourway contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;NA;0;SvAtrxP
Old.Provencal;OldProvencal;IE;0,60;43,50;Y;Y;N;Y;N;Y;N;Y;N;N;Y;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word distinct from one;Subject affixes on verb;Mixed indefinites;Unrelated;Twoway contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;No distributive numerals;Prepositions;DemonstrativeNoun;NegV;NA;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Old.Russian;OldRussian;IE;38,00;56,00;NA;NA;NA;Y;N;Y;N;N;Y;N;Y;Y;Y;Y;NA;NA;Differentiation;And different from with;NA;No definite or indefinite article;No definite or indefinite article;Subject affixes on verb;Interrogativebased;Related to remote demonstratives;Twoway contrast;NA;Identical;3rd person only but also nonsingular;NA;Three;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;Other position;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SOV;Y;Y;N;N;N;Y;OK;NA;0;SvAtrxP
Old.Sardinian;OldSardinian;IE;9,00;40,00;NA;NA;NA;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Subject affixes on verb;Interrogativebased;Unrelated;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;Marked by following word;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;Initial;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present 23 remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;NA;0;SvAtrxP
Old.Sicilian;OldSicilian;IE;13,22;38,07;NA;NA;NA;NA;NA;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Subject affixes on verb;Genericnounbased;Related for all demonstratives;Twoway contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;NA;NA;Prepositions;DemonstrativeNoun;NegV;NA;NounRelative clause;NA;Inflectional optative absent;Normal imperative  normal negative;NA;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;NA;NA;0;SvAtrxP
Old.Church.Slavic;OldChurchSlavic;IE;25,00;42,50;Y;N;Y;Y;N;Y;N;N;Y;N;Y;Y;N;Y;NA;NA;Differentiation;And different from with;Identity;No definite or indefinite article;No definite or indefinite article;Obligatory pronouns in subject position;Mixed indefinites;Related for all demonstratives;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic;Three;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;Other position;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;No dominant order;Y;Y;N;N;N;N;OK;NA;0;NA
Old.Spanish;OldSpanish;IE;-4,00;40,00;NA;NA;NA;NA;NA;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word distinct from one;Subject affixes on verb;Mixed indefinites;Unrelated;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;NA;NA;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;fixedpostmain;0;SvAtrxP
Early.Old.Swedish;EarlyOldSwedish;IE;19,75;64,25;Y;N;Y;Y;N;Y;N;NA;NA;Y;Y;Y;Y;Y;NA;NA;NA;And different from with;Identity;Definite affix;No indefinite but definite article;Obligatory pronouns in subject position;Interrogativebased;Unrelated;Twoway contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by suffix;Prepositions;NounDemonstrative;VNeg;NA;NounRelative clause;Present;Inflectional optative absent;NA;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Old.Tuscan;OldTuscan;IE;12,60;43,50;NA;NA;NA;Y;N;Y;N;Y;N;N;Y;Y;Y;N;N;Y;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Subject affixes on verb;Mixed indefinites;Unrelated;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural stem change;First second threeth;Marked by preceding word;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
