,ancient,ArvanitikaAlbanian,ModernEasternArmenian,ModernBreton,ModernBulgarian,Czech,Dutch,English,French,NorthernFrisian,CappadocianGreek,ModernGreek,HighAllemanic,Icelandic,ModernIrish,Italian,Lithuanian,Norwegian,Farsi,Polish,Portuguese,ModernRussian,ModernSardinianLogudorese,ModernSicilian,Spanish,Swedish,ModernWelsh,ModernHebrew,EgyptianArabic
22,OldSicilian,1082.513130283473,3527.6484193830806,2102.7689319548185,1384.4346157178545,1302.998896845936,1772.7525698220338,2121.19864307721,1654.2016597387394,1853.9723896243884,2457.7361402749825,1164.1486158494247,1113.8789018726961,4465.337029277245,2869.131918657635,552.3753413419023,2145.024435000373,2750.4517497500433,4316.747959286438,1663.7759210649845,2348.9531463826834,3269.5387418195633,512.1869333604669,0.0,1916.2663716297254,2375.2485030975267,2363.671769962719,2483.874720703077,2135.771890744998
23,OldChurchSlavic,508.6007142808947,2230.300127696912,3154.285518919186,0.0,1356.208187459046,2357.7362060493124,2949.209351321939,2612.56566757209,2180.4809174836028,1209.277398518731,383.2206021544395,1893.188684833109,5248.424979185127,3824.2158886878838,1439.9325709399257,1271.3094662074232,2959.2433354518002,3082.7285095659804,1122.8827653902824,3670.3912787280633,1924.9671924049399,1790.538048029973,1384.4346157178545,3219.7349464737645,2136.4366595367596,3263.4584821141134,1519.9187328919563,1396.4114002333683
24,OldSpanish,2994.7427113252556,5427.248689955643,895.7435050053125,3219.7349464737645,2373.136770236951,1775.8128378085844,1406.1280573309496,1110.089938906431,2157.746077547787,4363.390928475177,3066.2870152835044,1584.6082756834287,3085.105410406049,1505.400640931497,1800.2770641246423,3498.621322318577,2695.721801833239,6231.646260334257,2961.4515102468454,455.9864411483357,4934.8525515198935,1437.5545893735384,1916.2663716297254,0.0,3046.3718125033347,1337.910277191654,4389.657125850169,4016.365356300484
25,EarlyOldSwedish,2742.304886237104,3583.068270347094,3080.6513861829085,2311.1557176979004,1602.1644062916657,1982.7475070092387,2560.9460831428332,2642.5885868432606,1586.3778398061302,3045.910328796368,2645.0658901242314,2235.0178939241036,4065.825086816468,3307.805435528019,2429.1668082025544,1065.1384962847221,1532.5200872903417,4437.525025059977,1282.9492430894893,4132.794319550063,2174.5628168836424,2867.974657464069,2883.4124058576654,3733.9057907748274,692.9608993489545,2850.8169070748004,3624.0171876942686,3647.4124639794554
26,OldTuscan,1289.8751911246495,3606.8661466735243,1795.5199114673692,1376.615808290223,751.2341698063391,1228.568573062189,1680.0731276991125,1272.9834783207953,1266.892217527655,2571.3187406802094,1317.2898602238579,600.5142749914963,4038.492974770606,2508.8516646758007,85.81315186094852,1750.2847021571238,2165.2029684810254,4452.493308402464,1222.4086089868,2331.871789192676,3075.468474589569,552.2883008003266,593.2479397041913,1876.143292114491,1803.241495560364,1964.628729185822,2744.3174823014388,2464.5745616707936
27,MiddleWelsh,3253.364789951878,5448.677350837211,444.6715545607282,3263.4584821141134,2002.8887214456604,996.74685357746,331.7258698962879,709.7912027438016,1355.6629680465544,4471.485400148589,3272.8095702552687,1381.2560182736158,2101.9838805015333,563.913086934328,1934.807213387187,3004.646666741535,1503.9152364182937,6327.777154688132,2544.092124067921,1542.5434055201488,4557.944884202288,1879.8720913225022,2363.671769962719,1337.910277191654,2177.332279601808,0.0,4704.462365704199,4427.675640292624
28,Amorite,1989.0327569802755,642.3417313642366,5026.605775497428,1887.6968972157922,3212.3682494559125,4235.08102787875,4836.697926138847,4492.371212368898,4021.503493316361,686.328505658868,1929.5729773274807,3777.041894054875,7116.08078689944,5711.096724419331,3284.3362243543925,2648.900226752479,4708.604526464141,1255.0380177443035,2823.582675473908,5412.066865814551,1854.8409437772439,3552.9485219611815,3065.006146850681,4981.085098146081,3756.7284403668673,5150.971746983482,711.8060091720258,1158.8797718424114
29,AncientSouthArabian,3214.0988892219184,1925.0138678469866,6250.613539378481,3314.17734315374,4668.521846986898,5641.56375563394,6175.3801012957665,5762.4239285809235,5493.414873777106,2252.888179911413,3208.999950532881,5090.667515702145,8524.726285012131,6998.8960635007925,4528.003649826167,4268.291850166264,6256.925175051647,1549.101432164765,4372.710988447345,6361.555094463595,3437.5301703003483,4666.865844070942,4154.979545279223,5985.696780848805,5350.234468128584,6462.29208131864,1795.0944131632903,2035.0671779238965
30,Arabic,1389.7215868412493,1592.3488325815722,4440.985424806727,1540.8321219379502,2873.2003297011124,3823.1644319052466,4351.045334932254,3942.736488001868,3695.454784101887,872.4235651547881,1388.8510419733145,3266.3142592029603,6701.214461080095,5180.016924009946,2706.999661128452,2671.3385381499916,4498.495361038228,2126.786317791615,2651.4767973054168,4657.689356467534,2442.4484784855044,2875.6580676691583,2364.869278835035,4251.391821395259,3660.9641140036133,4639.6726725759045,256.8534756412862,237.66405506129712
31,DumaiticNorthArabian,2026.1321834907442,1011.8844239663593,5100.193273051786,2033.0572867826916,3387.1551908835186,4387.942157836544,4959.382228942353,4582.1431169309535,4209.104447429294,929.4913373574827,1992.6509958355966,3881.5047318184857,7279.769218993702,5815.239220406369,3352.0879766841826,2945.575922928581,4945.656725131374,1384.2540544404112,3057.4008678213618,5386.021730840947,2272.8557505930276,3568.932289182926,3064.433347245187,4970.595974052608,4027.4590782142086,5262.757046184488,581.0322499403333,986.507296271285
32,EarlierEgyptian,1289.5048639696074,1871.1956010749427,4284.164151830916,1531.0669984282279,2816.9913849935288,3728.7042962692967,4227.543043332154,3801.7000483670895,3630.2000163120997,1087.539924049032,1314.0939850532966,3145.8190585203333,6585.684266107805,5036.2304152813085,2571.5891416923305,2731.4069147025925,4460.414167382773,2395.9242609499665,2653.925660553627,4443.789670699073,2649.4040254990987,2701.090891849968,2188.9630039923436,4047.5433516468543,3667.496034188496,4505.6702167980775,531.3835446806575,155.9952692446092
33,Eblaite,1544.3227627673966,976.6112578137383,4584.132091282373,1455.5779440971767,2795.4243313784727,3810.899422789444,4403.663397947377,4051.947157182772,3611.7310601746694,303.83310333280525,1484.2673398064262,3338.710905928677,6698.277182619854,5274.202924520889,2840.242793143486,2319.6481120431426,4328.402325518547,1694.96496715875,2439.1076418809603,4970.219671519484,1790.0021095808952,3108.163194376002,2622.061132795606,4537.6507274174155,3402.1751215314616,4715.443557501304,445.6050481717424,837.2696204713442
34,HasaiticNorthArabian,3106.1882328867623,1175.5338389071012,6174.794447085047,3059.979977209484,4392.45740498439,5413.2971734200455,6007.864974113067,5649.0481567352745,5201.733748584352,1866.5961212594345,3064.1014410584353,4939.754730817729,8296.364863055636,6875.906434560034,4426.41399803062,3786.479668606883,5875.72302163671,654.9042575083305,3997.0848249942815,6473.865763226054,2715.3471146981306,4656.679439445916,4153.399971526768,6059.933489180173,4907.101882712576,6318.458766107586,1670.5226193029782,2059.3237633923127
35,Hittite,1344.1563579947592,1110.3514762828045,4288.6332308314395,1134.347816770491,2431.12055602156,3458.1373299813163,4070.59912738449,3746.2859872203253,3236.215516452802,126.42815939752565,1256.2660837800604,3025.8649868574357,6332.883470644801,4951.805151766363,2565.4833012426902,1893.8157081487627,3925.066009503758,1948.4129582432133,2037.9600249583775,4760.407292029681,1469.5712155796614,2879.3426242993014,2420.3549490748214,4316.89721367284,2984.787526222096,4389.322454071544,776.7210401391998,1033.771961470675
36,Hurrian,2267.7304430787526,195.59113490960752,5181.62113680702,2038.626397767436,3261.2261297296827,4293.224634867313,4928.080956226886,4633.640721534011,4032.030766712681,896.453902849153,2182.001757396649,3911.5676352284804,7124.1793851071125,5817.0804090311385,3478.0723519617804,2510.4608278018313,4629.303132376576,1088.3445188894161,2791.8153412430784,5685.621365534702,1417.2042511848545,3803.6839231501426,3345.970248997137,5241.089040262852,3636.1403763618982,5253.167949054723,1233.5179907987815,1663.5320562179825
37,JewishBabylonianAramaic,2413.6196984198396,619.0418169761185,5462.5589998999385,2327.011848020817,3649.977705559086,4673.873001424683,5276.089811146248,4929.883142667502,4456.793828254867,1124.483511780377,2359.6771706509194,4215.4528899252155,7553.030315862747,6150.001318872691,3718.1501536713604,3051.2420934123265,5131.207392975932,872.3447864385993,3250.97365002854,5824.726247438214,2101.00853780215,3976.176678846478,3482.631875979335,5398.443886740017,4167.944375148217,5590.124228017227,1046.4681459605213,1482.9485765151883
38,JewishPalestinianAramaic,1461.6012735190343,1270.3707374080673,4535.927103660125,1497.7180320081686,2853.528045154911,3840.986079919606,4402.322245903781,4019.5604018183712,3678.106150620505,584.2416793421951,1430.7381693750033,3322.009243050634,6732.017989337636,5253.8383352445435,2788.1911521962475,2517.766016076916,4442.555743669429,1871.5829960625983,2564.8727573393894,4833.334298165224,2139.045135610791,3006.1130746634185,2503.3930428720973,4413.58139259849,3558.40630984605,4703.064607470826,81.9921990961997,512.0800562725432
