name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Kiowa,Kiowa,Kiowa,-99.0,37.0,Y,Y,N,Y,N,Y,N,,,Y,N,,,N,Y,N,,And different from with,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,,Twoway contrast,Identical,Differentiated,No gender distinctions,,,Double negation,Plural suffix,,,No adpositions,DemonstrativeNoun,ObligDoubleNeg,,Internally headed,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No adpositions,Initial,Two classes,Head marking,No productive reduplication,Inflectional future exists,No past tense,Grammatical marking,A or P argument,SOV,,,,,,,,
Koasati,Koasati,,-85.16666667,34.83333333,Y,N,Y,,,N,Y,,,Y,N,N,Y,N,Y,N,Differentiation,,Differentiation,Definite word distinct from demonstrative,,Subject affixes on verb,Interrogativebased,Unrelated,Five or moreway contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative affix,Plural clitic,First twoth threeth,,Postpositions,DemonstrativeNoun,VNeg,OVX,Mixed,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,,Two classes,Head marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvAtrxP
Kobon,Kobon,Kalamic-South Adelbert,144.3333333,-5.166666667,,,,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word distinct from one,Subject affixes on verb,Genericnounbased,Unrelated,Twoway contrast,Identical,Identical,No gender distinctions,No gender,,Negative affix,Plural suffix,,,Postpositions,NounDemonstrative,VNeg,,Mixed,Absent,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Final,Two classes,No marking,,,,,Only the A argument,SOV,,,,,,,,Mixed
Korean,Korean,,128.0,37.5,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,,,,Differentiation,And different from with,Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Unrelated,Threeway contrast,Different stem,Identical,3rd person singular only,,,Negative particle,Plural suffix,Oneth twoth threeth,Marked by suffix,Postpositions,DemonstrativeNoun,NegV,,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  special negative,Second person numberneutral,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,No person marking,SOV,,,,,,,,SvAtrxP
Koyraboro Senni Songhai,KoyraboroSenniSonghai,,0.0,16.0,Y,N,Y,Y,N,N,Y,,,Y,N,N,Y,Y,,,,,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Obligatory pronouns in subject position,Genericnounbased,Unrelated,No distance contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative particle,Plural clitic,Firstoneth twoth threeth,,Postpositions,NounDemonstrative,NegV,OVX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,In either of two positions,,,,No inflectional future,No past tense,Grammatical marking,No person marking,SOV,,,,,,,,SvAtrvP
Krongo,Krongo,,30.0,10.5,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,,,Differentiation,,Differentiation,No definite or indefinite article,No definite or indefinite article,Mixed,,,Threeway contrast,Identical,,3rd person singular only,,,Double negation,Plural prefix,One two three,,,NounDemonstrative,ObligDoubleNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,Dependent marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,No person marking,VSO,,,,,,,,SvAtrvP
Kutenai,Kutenai,,-116.0,49.5,Y,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,Y,,,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject pronouns in different position,Interrogativebased,,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative particle,Plural prefix,,No distributive numerals,No adpositions,DemonstrativeNoun,NegV,,Internally headed,Present,Inflectional optative absent,,Second singular and second plural,No adpositions,Initial,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,No dominant order,,,,,,,,SvAtrvP
Lakota,Lakota,,-101.8333333,43.83333333,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,Differentiated,No gender distinctions,,,Negative particle,Plural word,First twoth threeth,,Postpositions,Mixed,VNeg,,Internally headed,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,Pronouns only,Final,Two classes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvAtrvP
Lango (Uganda),Lango,Western Nilotic,33.0,2.166666667,Y,Y,N,N,Y,N,Y,,,N,Y,N,Y,,,,Mixed,,Differentiation,No definite but indefinite article,Indefinite affix,Subject affixes on verb,Genericnounbased,Unrelated,Threeway contrast,Different stem,Identical,No gender distinctions,No gender,,Negative particle,Plural suffix,First two three,,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns only,No question particle,Two classes,Head marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO,,,,,,,,Mixed
Latvian,Latvian,Balto-Slavic,24.0,57.0,,,,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,Demonstrative word used as definite article,Indefinite word same as one,Obligatory pronouns in subject position,Interrogativebased,Related by gender markers,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative affix,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second plural,No person marking,Initial,,,,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,Y,,SvAtrxP
Lavukaleve,Lavukaleve,,159.2,-9.083333333,,,,N,Y,N,Y,,,Y,N,N,Y,N,Y,N,,,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Genericnounbased,Related for all demonstratives,Threeway contrast,Different stem,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Variation between negative word and affix,Plural suffix,,,Postpositions,,Type 2  Type 4,XOV,Internally headed,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,Pronouns and nouns,Final,No possessive classification,Head marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SOV,Y,N,N,N,N,N,,SvAtrvP
Lezgian,Lezgian,Daghestanian,47.83333333,41.66666667,,,,N,Y,Y,N,Y,N,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,No definite but indefinite article,Indefinite word same as one,Optional pronouns in subject position,Interrogativebased,Related to nonremote demonstratives,Threeway contrast,Different inflection,Identical,No gender distinctions,No gender,,Negative affix,Plural suffix,Oneth twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,VNeg,,Relative clauseNoun,Absent,Inflectional optative present,Special imperative  special negative,Second person numberneutral,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,No person marking,SOV,,,,,,,,SvPxAtr
Luvale,Luvale,Bantoid,22.0,-12.0,Y,Y,N,N,Y,N,Y,,,N,Y,N,Y,N,N,Y,,,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related by gender markers,,,Differentiated,3rd person only but also nonsingular,Semantic and formal,Five or more,Double negation,Plural prefix,First twoth threeth,,Prepositions,NounDemonstrative,ObligDoubleNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,,Two classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,
Mangarrayi,Mangarrayi,,133.5,-14.66666667,Y,Y,N,N,Y,Y,Y,,,Y,Y,N,Y,N,N,Y,Differentiation,And different from with,Differentiation,Definite word distinct from demonstrative,,Subject affixes on verb,Interrogativebased,Related for all demonstratives,,,,No gender distinctions,Semantic,Three,Negative particle,Plural suffix,,,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No adpositions,Final,Two classes,Double marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,OVS,,,,,,,,Mixed
Manipuri,Manipuri,,94.0,24.75,Y,N,Y,N,Y,N,Y,,,Y,N,Y,Y,N,Y,N,Differentiation,And different from with,Differentiation,Demonstrative word used as definite article,Indefinite word same as one,Optional pronouns in subject position,Interrogativebased,Related for all demonstratives,Twoway contrast,Identical,Identical,No gender distinctions,No gender,,Negative affix,,Firstoneth twoth threeth,Marked by reduplication,Postpositions,NounDemonstrative,VNeg,,Relative clauseNoun,Absent,Inflectional optative present,Special imperative  special negative,Second person numberneutral,No person marking,Final,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,,,,,,,,,
Maori,Maori,Malayo-Polynesian,176.0,-40.0,,,,N,Y,N,Y,N,Y,N,Y,N,Y,Y,,,Differentiation,And identical to with,Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from one,Optional pronouns in subject position,Mixed indefinites,Related to remote demonstratives,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative word unclear if verb or particle,Plural word,Oneth twoth threeth,Marked by prefix,Prepositions,Mixed,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,No person marking,VSO,,,,,,,,SvAtrxP
Mapudungun,Mapudungun,,-72.0,-38.0,Y,Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,,Related to nonremote demonstratives,Threeway contrast,Different stem,Differentiated,No gender distinctions,No gender,,Negative affix,Plural word,Firstoneth twoth threeth,,No dominant order,DemonstrativeNoun,VNeg,No dominant order,,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,,No possessive classification,Head marking,,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,Y,N,N,N,N,N,,SvAtrvP
Maricopa,Maricopa,,-113.1666667,33.16666667,Y,Y,N,,,N,Y,,,Y,N,N,Y,N,Y,N,,,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Five or moreway contrast,Identical,Identical,No gender distinctions,No gender,,Double negation,Plural stem change,,Marked by suffix,Postpositions,NounDemonstrative,ObligDoubleNeg,,Mixed,Present,Inflectional optative present,Normal imperative  normal negative,Second singular and second plural,No adpositions,No question particle,Three to five classes,Head marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvAtrxP
Martuthunira,Martuthunira,Southwestern Pama-Nyungan,116.5,-20.83333333,Y,N,Y,Y,N,Y,N,,,Y,Y,N,Y,N,N,Y,Differentiation,,,,,Optional pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,,No gender distinctions,No gender,,Negative particle,Plural suffix,,No distributive numerals,No adpositions,DemonstrativeNoun,NegV,VOX,Adjoined,Present,Inflectional optative absent,Special imperative  normal negative,Second person numberneutral,No adpositions,No question particle,Two classes,Dependent marking,Full reduplication only,Inflectional future exists,Present no remoteness distinctions,No grammatical marking,No person marking,SVO,,,,,,,,SvAtrxP
Mawng,Mawng,,133.5,-11.91666667,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,,,,,,Subject affixes on verb,,Related by gender markers,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic,Five or more,Negative particle,Plural word,,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Absent,,Special imperative  special negative,Second singular and second plural,No person marking,Initial,Two classes,No marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrvP
