name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Alamblak,Alamblak,Sepik Hill,143.3333333,-4.666666667,,,,N,Y,Y,N,N,Y,Y,N,Y,N,Y,,,Differentiation,And different from with,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,,Related by gender markers,Twoway contrast,Identical,Identical,3rd person singular only,Semantic,Two,Negative particle,Plural clitic,First twoth threeth,,Postpositions,DemonstrativeNoun,NegV,No dominant order,Relative clauseNoun,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,,,,,,,flexiblerelational,SvAtrvP
Amele,Amele,Croisilles,145.5833333,-5.25,N,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word distinct from one,,Genericnounbased,Unrelated,Threeway contrast,Identical,Identical,No gender distinctions,No gender,,Negative particle,Mixed morphological plural,Firstoneth twoth threeth,No distributive numerals,Postpositions,NounDemonstrative,OptDoubleNeg,XOV,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,Final,More than five classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,,,,,,,fixedpremain,SvAtrvP
Amharic,Amharic,West Semitic,38.0,10.0,,,,N,Y,Y,N,,,Y,N,Y,N,N,N,Y,,And different from with,,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,,,,,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Double negation,Plural suffix,,Marked by reduplication,No dominant order,DemonstrativeNoun,ObligDoubleNeg,,Relative clauseNoun,Present,,Special imperative  special negative,Second singular and second plural,Pronouns only,,No possessive classification,,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,Y,Y,N,N,N,N,,SvAtrxP
Amur Nivkh,AmurNivkh,,142.0,53.33333333,Y,N,Y,N,Y,Y,Y,,,Y,N,Y,N,N,Y,N,Differentiation,,Differentiation,,,Optional pronouns in subject position,Interrogativebased,Related for nonhuman reference,Twoway contrast,Different inflection,,No gender distinctions,No gender,,Negative affix,Plural suffix,First two three,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,OptDoubleNeg,,Relative clauseNoun,Absent,Inflectional optative absent,,Second singular and second plural,Pronouns only,Final,,Head marking,Full reduplication only,Inflectional future exists,No past tense,No grammatical marking,No person marking,SOV,,,,,,,,SvAtrvP
Apurinã,Apurinã,Apurina-Piro-Iñapari,-67.0,-9.0,Y,N,Y,Y,N,Y,N,,,Y,N,N,Y,N,Y,N,,,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related by gender markers,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,,,Postpositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,,Second plural,No adpositions,No question particle,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrvP
Awa-Cuaiquer,AwaCuaiquer,,-78.25,1.5,,,,N,Y,Y,N,Y,N,Y,N,Y,N,Y,,,,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related for nonhuman reference,,,Differentiated,No gender distinctions,No gender,,Double negation,Plural suffix,,,Postpositions,DemonstrativeNoun,ObligDoubleNeg,XOV,,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Final,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,A or P argument,SOV,,,,,,,,SvAtrxP
Bagirmi,Bagirmi,,16.0,11.66666667,Y,N,Y,N,Y,N,Y,,,N,Y,N,Y,N,N,Y,Differentiation,,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,,Genericnounbased,Unrelated,,,Identical,No gender distinctions,No gender,,Negative particle,Plural clitic,,,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,Pronouns only,Final,No possessive classification,No marking,Full reduplication only,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO,,,,,,,,Mixed
Barasana-Eduria,BarasanaEduria,,-70.66666667,-0.166666667,,,,Y,N,Y,N,,,Y,N,Y,Y,Y,,,Identity,,,,,Subject affixes on verb,,Related to remote demonstratives,Threeway contrast,Identical,,3rd person singular only,Semantic,Three,Negative affix,Plural suffix,,,Postpositions,DemonstrativeNoun,VNeg,OXV,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,Second person numberneutral,No person marking,No question particle,Two classes,Head marking,No productive reduplication,No inflectional future,Present 23 remoteness distinctions,No grammatical marking,Only the A argument,No dominant order,,,,,,,,SvAtrxP
Basque,Basque,,-3.0,43.0,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,,,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative particle,Plural clitic,First twoth threeth,Marked by suffix,Postpositions,NounDemonstrative,NegV,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvPxAtr
Bukiyip,Bukiyip,Kombio,143.1666667,-3.466666667,N,N,N,N,Y,Y,N,,,Y,Y,Y,N,,,,Differentiation,,,,Indefinite word distinct from one,Subject affixes on verb,,Related to nonremote demonstratives,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Five or more,Negative particle,Plural suffix,,,Prepositions,DemonstrativeNoun,OptDoubleNeg,,,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No adpositions,Final,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrvP
Burmese,Burmese,Lolo-Burmese,96.0,21.0,N,N,N,N,Y,N,Y,Y,N,Y,N,N,Y,,,,,And identical to with,,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,,Unrelated,Twoway contrast,,Identical,3rd person singular only,No gender,,Double negation,Plural word,Various,Marked by suffix,Postpositions,DemonstrativeNoun,ObligDoubleNeg,No dominant order,Relative clauseNoun,Absent,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,Dependent marking,Full reduplication only,No inflectional future,No past tense,No grammatical marking,No person marking,SOV,,,,,,,,SvAtrxP
Burushaski,Burushaski,,74.5,36.5,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,Differentiation,And different from with,Identity,Demonstrative word used as definite article,,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,Different inflection,Identical,3rd person singular only,Semantic,Four,Negative affix,Plural suffix,First twoth threeth,Marked by reduplication,Postpositions,DemonstrativeNoun,NegV,,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,Pronouns only,No question particle,Three to five classes,Double marking,,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,Y,Y,N,N,N,N,flexibleadjacent,
Canela-Krahô,CanelaKrahô,Ge,-45.0,-7.0,,,,Y,N,,,,,Y,N,N,Y,N,Y,N,,And identical to with,Differentiation,No definite or indefinite article,No definite or indefinite article,,Interrogativebased,Unrelated,Twoway contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative particle,No plural,,,Postpositions,NounDemonstrative,VNeg,XOV,Mixed,Absent,,Normal imperative  normal negative,Second person numberneutral,Pronouns only,Initial,No possessive classification,Dependent marking,Productive full and partial reduplication,No inflectional future,Present 23 remoteness distinctions,No grammatical marking,Only the P argument,SOV,,,,,,,,
Central Kanuri,CentralKanuri,,13.0,12.0,,,,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,Differentiation,And identical to with,Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,,Unrelated,Twoway contrast,,,No gender distinctions,No gender,,Negative affix,Plural suffix,Firstoneth twoth threeth,,Postpositions,NounDemonstrative,VNeg,OXV,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,,,,,,,,
Central Moroccan Berber,CentralMoroccanBerber,,-5.0,33.0,Y,N,Y,Y,N,Y,N,,,N,Y,N,Y,N,N,Y,Differentiation,And identical to with,Differentiation,,,Subject affixes on verb,,Unrelated,,,,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,First twoth threeth,,Prepositions,Mixed,,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns only,Initial,Two classes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,VSO,,,,,,,,SvAtrxP
Chamorro,Chamorro,Malayo-Polynesian,144.75,13.45,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,Y,,And identical to with,Identity,Definite word distinct from demonstrative,,,,Unrelated,Threeway contrast,Identical,Identical,No gender distinctions,No gender,,Negative particle,Plural word,First twoth threeth,Marked by mixed or other strategies,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,,Pronouns only,Initial,No possessive classification,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,VSO,,,,,,,,
Chukchi,Chukchi,Chukotkan,-173.0,67.0,Y,N,Y,N,Y,Y,N,,,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,,No gender distinctions,No gender,,Negative particle,Plural suffix,Firstoneth twoth threeth,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,NegV,,Mixed,Absent,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,No marking,Productive full and partial reduplication,Inflectional future exists,No past tense,Grammatical marking,Both the A and P arguments,No dominant order,,,,,,,,SvPxAtr
Eastern Armenian,EasternArmenian,,45.0,40.0,,,,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,Differentiation,And different from with,,Definite affix,Indefinite word distinct from one,Subject affixes on verb,,Related to remote demonstratives,,,Identical,No gender distinctions,No gender,,Variation between negative word and affix,Plural suffix,First twoth threeth,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,Type 1  Type 3,No dominant order,Mixed,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,,Full reduplication only,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,,,,,,,,
Eastern Oromo,EasternOromo,Eastern Cushitic,42.0,9.0,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,Y,,,Differentiation,And different from with,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Genericnounbased,Unrelated,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Double negation,No plural,First twoth threeth,,Postpositions,NounDemonstrative,ObligDoubleNeg,XOV,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,Two classes,Other,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SOV,,,,,,,,SvAtrxP
Egyptian Arabic,EgyptianArabic,West Semitic,31.0,30.0,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Differentiation,And different from with,Identity,Definite affix,No indefinite but definite article,Subject affixes on verb,Genericnounbased,Related by gender markers,Twoway contrast,Identical,,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Negative particle,Mixed morphological plural,First twoth threeth,No distributive numerals,Prepositions,NounDemonstrative,OptDoubleNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  normal negative,Second singular and second plural,Pronouns only,Initial,No possessive classification,No marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SVO,,,,,,,,Mixed
English,English,Germanic,0.0,52.0,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Obligatory pronouns in subject position,Genericnounbased,Related for all demonstratives,Twoway contrast,Identical,Identical,3rd person singular only,Semantic,Three,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,,,,,,,flexibleadjacent,Mixed
Epena,Epena,,-77.0,3.0,,,,Y,N,N,Y,,,Y,N,N,Y,Y,,,,,,Definite word distinct from demonstrative,No indefinite but definite article,Optional pronouns in subject position,,Unrelated,Twoway contrast,Different inflection,,No gender distinctions,No gender,,Negative affix,Plural clitic,,,Postpositions,DemonstrativeNoun,VNeg,OVX,Internally headed,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,No marking,Productive full and partial reduplication,,,,No person marking,SOV,,,,,,,,SvPxAtr
Evenki,Evenki,Northern Tungusic,125.0,56.0,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Differentiation,,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,Identical,No gender distinctions,No gender,,Double negation,Plural suffix,First second threeth,Marked by suffix,Postpositions,DemonstrativeNoun,ObligDoubleNeg,,Relative clauseNoun,Present,Inflectional optative present,Normal imperative  normal negative,Second singular and second plural,Pronouns only,Final,No possessive classification,Double marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SOV,,,,,,,,SvAtrxP
Ewe,Ewe,Gbe,0.416666667,6.333333333,,,,N,Y,N,Y,,,Y,N,N,Y,N,N,Y,Identity,And identical to with,,Demonstrative word used as definite article,Indefinite word distinct from one,Subject affixes on verb,Genericnounbased,,Twoway contrast,,Differentiated,No gender distinctions,No gender,,Double negation,Plural clitic,First twoth threeth,,Postpositions,NounDemonstrative,ObligDoubleNeg,,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,Pronouns only,Final,Two classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,Mixed
Fijian,Fijian,Malayo-Polynesian,178.0,-17.83333333,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Differentiation,And identical to with,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject pronouns in different position,,Unrelated,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,,,,First twoth threeth,Marked by prefix,Prepositions,NounDemonstrative,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,No secondperson imperatives,Pronouns and nouns,No question particle,No possessive classification,Head marking,Full reduplication only,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,No dominant order,,,,,,,,
